sucursal,fecha_emision,dni_empleado,dni_admin,producto,categoria,familia,cantidad
catam4,,,,MARROC,helado,chocolate,0
catam4,,,,ALMENDRADO,helado,crema blanca,0
catam4,,,,AMERICANA,helado,crema blanca,0
catam4,,,,ARANDANO Y CASSIS,helado,crema blanca,0
catam4,,,,BANANA SPLIT,helado,crema blanca,0
catam4,,,,BANANINA,helado,crema blanca,0
catam4,,,,BISCUIT,helado,crema blanca,0
catam4,,,,CAYOTE CON NUEZ,helado,crema blanca,0
catam4,,,,CEREZA,helado,crema blanca,0
catam4,,,,COCOLECHE,helado,crema blanca,0
catam4,,,,CREMA DE CAFE,helado,crema blanca,0
catam4,,,,CREMA DE HIGO CON NUEZ,helado,crema blanca,0
catam4,,,,CREMA DEL CIELO,helado,crema blanca,0
catam4,,,,CREMA RUSA,helado,crema blanca,0
catam4,,,,DELICIA TELLO,helado,crema blanca,0
catam4,,,,FRUTILLA A LA CREMA,helado,crema blanca,0
catam4,,,,FRUTOS DEL BOSQUE,helado,crema blanca,0
catam4,,,,GRANIZADO,helado,crema blanca,0
catam4,,,,LEMON PIE,helado,crema blanca,0
catam4,,,,MANTECOL,helado,crema blanca,0
catam4,,,,MANZANAS AL OPORTO,helado,crema blanca,0
catam4,,,,MARACUYA,helado,crema blanca,0
catam4,,,,MENTA GRANIZADA,helado,crema blanca,0
catam4,,,,PANACOTTA,helado,crema blanca,0
catam4,,,,PISTACHO,helado,crema blanca,0
catam4,,,,SAMBAYON,helado,crema blanca,0
catam4,,,,TIRAMISU,helado,crema blanca,0
catam4,,,,TORTA BROWNIE,helado,crema blanca,0
catam4,,,,YOGUR GRIEGO,helado,crema blanca,0
catam4,,,,CREMA DON PEDRO,helado,crema vainilla,0
catam4,,,,CREMA FLAN,helado,crema vainilla,0
catam4,,,,KINOTOS AL WHISKY,helado,crema vainilla,0
catam4,,,,VAINILLA,helado,crema vainilla,0
catam4,,,,VAINILLA GRANIZADA,helado,crema vainilla,0
catam4,,,,CHOCOTORTA,helado,dulce de leche,0
catam4,,,,DOLCCINO,helado,dulce de leche,0
catam4,,,,DULCE DE LECHE,helado,dulce de leche,0
catam4,,,,DULCE DE LECHE BOMBON,helado,dulce de leche,0
catam4,,,,DULCE DE LECHE CON NUEZ,helado,dulce de leche,0
catam4,,,,DULCE DE LECHE GRANIZADO,helado,dulce de leche,0
catam4,,,,DULCE DE LECHE TENTACION,helado,dulce de leche,0
catam4,,,,ANANA,helado,frutas,0
catam4,,,,DURAZNO AL AGUA,helado,frutas,0
catam4,,,,FRUTILLA AL AGUA,helado,frutas,0
catam4,,,,LIMON,helado,frutas,0
catam4,,,,MANGO,helado,frutas,0
catam4,,,,Cheescake DL/ Oreo,minitortas,,0
catam4,,,,Dulccina,minitortas,,0
catam4,,,,Nutella,minitortas,,0
catam4,,,,Carita,paletas,,0
catam4,,,,Chancho,paletas,,0
catam4,,,,Clasica,paletas,,0
catam4,,,,Corazon,paletas,,0
catam4,,,,Cristal,paletas,,0
catam4,,,,Dona Banana Split,paletas,,0
catam4,,,,Dona flan,paletas,,0
catam4,,,,Dubai,paletas,,0
catam4,,,,Hello Kitty,paletas,,0
catam4,,,,Pata,paletas,,0
catam4,,,,Tango,paletas,,0
catam4,,,,Torta,paletas,,0
catam4,,,,Vaca Aurora,paletas,,0
catam4,,,,chocolatin,paletas,,0
catam4,,,,Brownie,tartas,,0
catam4,,,,Cabsha,tartas,,0
catam4,,,,Cheescake Tarta,tartas,,0
catam4,,,,Higo,tartas,,0
catam4,,,,Imperial Tarta,tartas,,0
catam4,,,,Lemon Pie Tarta,tartas,,0
catam4,,,,Maracuya Tarta,tartas,,0
catam4,,,,Mousse,tartas,,0
catam4,,,,Rocher,tartas,,0
catam4,,,,Bomba,tortas,,0
catam4,,,,Chaja,tortas,,0
catam4,,,,Imperial,tortas,,0
catam4,,,,Maria Luisa,tortas,,0
catam4,,,,Selva Negra,tortas,,0
catam4,,,,Tropical,tortas,,0
catam4,,,,BOMBON,tortas heladas,,0
catam4,,,,CHOCOOREO,tortas heladas,,0
catam4,,,,CLASICA AM/CHOC,tortas heladas,,0
catam4,,,,CLASICA VAI/ DL,tortas heladas,,0
catam4,,,,DEL AMERICANA,tortas heladas,,0
catam4,,,,DEL DULCE D LECHE,tortas heladas,,0
catam4,,,,OMELETTE,tortas heladas,,0
catam4,,,,PRIMAVERA,tortas heladas,,0
catam4,,,,VERONA,tortas heladas,,0
catam5,,,,DIET AMERICANA,diet,,0
catam5,,,,DIET ANANA,diet,,0
catam5,,,,DIET BANANA,diet,,0
